mu,omega,alpha1,beta1,shape,tick,alpha2,gamma1,gamma2,ma1,ar1,ar2,ar3,ma2,ma3,beta2,skew,eta11,eta21,ma4,ma5,ar4,ar5,label
0.000489886596689244,2.3184036800094e-05,0.128201607683278,0.859996045674696,6.29953341487935,A,,,,,,,,,,,,,,,,,,2011
-0.00469759893117316,1.70530511354954e-05,0.00343278075381812,0.960446973725897,10.5487721763875,AAL,1.91089986840005e-07,0.374124240532798,-0.314638674745907,,,,,,,,,,,,,,,2011
0.00107108720119647,3.90974817163739e-05,0.122975023852985,0.733776415363264,13.4280379345563,AAPL,,,,,,,,,,,,,,,,,,2011
0.00109918724561419,8.0777170698436e-06,0.179386683998771,0.757856515328738,22.9624843600223,ABT,,,,-0.0550603126307906,,,,,,,,,,,,,,2011
0.000691870831784001,3.22811641571446e-06,0.0511735857300503,0.936444520706085,5.20470954113254,ACGL,,,,0.612018944376255,-0.711922009297967,,,,,,,,,,,,,2011
0.00148762868718513,8.94421851166282e-06,0.0604218964538205,0.938578093647485,3.18667651311229,ACN,,,,,,,,,,,,,,,,,,2011
0.000193347109197318,7.42287073518366e-06,0.0417550325917587,0.944718911881238,6.65722177124989,ADBE,,,,0.585583726158357,-0.658738018219395,,,,,,,,,,,,,2011
-0.000234909990572598,2.297256848902e-06,2.44031258824676e-07,0.974054262038141,11.0174713531311,ADI,,0.0441379854187582,,,,,,,,,,,,,,,,2011
0.000630075242226482,4.49893105382828e-06,0.0388174008065875,0.955056878192088,5.45108049122593,ADM,,,,0.80157227665588,-0.876415813367226,,,,,,,,,,,,,2011
0.0010744196240651,4.14181918189086e-06,2.03549352659031e-07,0.873799057225143,9.09909210488376,ADP,0.111037657483336,,,,,,,,,,,,,,,,,2011
-0.000569509579282684,1.32710380419235e-05,0.0862489292222351,0.904530185055031,5.3430265440967,ADSK,,,,,,,,,,,,,,,,,,2011
0.000884426595721498,1.69438194840866e-05,0.0233632916461318,0.798338736955192,4.9310210214128,AEE,0.094809357280153,,,0.834253041120664,-0.930247601418152,0.558857342317519,0.803590839471884,-0.729302777797425,-0.944963277248482,,,,,,,,,2011
0.000690947291708536,2.33039250361485e-05,0.0698969206211935,0.628990774184871,20.1962139113675,AEP,0.123287223514979,,,0.661717063561906,-0.735956600754402,-0.018094659844364,,,,,,,,,,,,2011
-6.42088509885547e-07,3.4397858467155e-05,1.40425561727924e-09,0.15928977713428,44.3220174993453,AES,0.323849397606426,,,-0.0602592115719464,-0.0223341655319211,0.600190868768638,,-0.598655426368154,-0.108639807214505,0.446396890438909,,,,,,,,2011
-0.0011590159529869,7.27136770804917e-06,0.0213064860059599,0.917124233095647,5.27580251712977,AFL,0.0590438170825341,,,0.749166375757709,-0.79534968268707,,,,,,0.941887261863335,,,,,,,2011
-0.00401642347623552,1.30355537899194e-05,7.49086393286079e-07,0.906922208845058,9.85021492550878,AIG,,0.164016244820596,,,,,,,,,,,,,,,,2011
-0.000254183936370143,7.76046573211787e-06,0.00185554924574854,0.879978789928737,9.91468796263552,AIZ,0.0981440735538848,,,0.615037965444424,-0.831360652145041,,,-0.112537163834636,,,,,,,,,,2011
