mu,omega,alpha1,beta1,shape,tick,alpha2,skew,ar1,ma1,ma2,eta11,eta21,ma3,ma4,ar2,beta2,gamma1,gamma2,ar3,ar4,ar5,label
0.000437314381764534,7.78282389644661e-05,0.168000741336333,0.43020230916715,5.84860967136593,A,,,,,,,,,,,,,,,,,2014
0.00330293472654827,8.94668266513332e-05,0.12112667257645,0.706302015521645,20.8505938121641,AAL,0.0130078228577266,,,,,,,,,,,,,,,,2014
0.00158774893020538,2.26525302194645e-07,2.15376736139332e-10,0.998999899329529,3.80499858180998,AAPL,,1.03096934686204,,,,,,,,,,,,,,,2014
0.00139569312937972,1.95542735462769e-05,0.0974934935817977,0.824590928953726,8.01837572347951,ABBV,,,,,,,,,,,,,,,,,2014
0.000868756030539142,1.54548011368321e-05,0.122612124525707,0.71502393379224,14.6267741570471,ABT,,,,,,,,,,,,,,,,,2014
0.000192986558659444,1.4770664320258e-07,0.0836862130088392,0.779232197734776,9.00912074328127,ACGL,,,0.708773150343022,-0.790673138995231,0.0834929996028902,0.999030173933411,0.0456806849255391,,,,,,,,,,2014
0.000417067697155855,1.07799664074633e-05,0.109815379330944,0.787757432449864,5.1743529218763,ACN,,0.895163106571003,-0.712058115980512,0.771321022954516,,,,,,,,,,,,,2014
0.0012288257843713,0.000135994251040699,0.252654022525797,0.247071207973992,4.73415854429673,ADBE,,,,,,,,,,,,,,,,,2014
0.000298451202898273,4.77908399044191e-07,0.00248532125370946,0.996508325883787,3.02282368934034,ADI,,0.872291534227718,-0.952210011815643,0.986210619179406,0.0275669535683078,,,-0.0525446540882917,-0.00236526365147846,,,,,,,,2014
0.00125033278309954,2.09831279964586e-05,0.169875170670445,0.705122819539032,5.72096643492988,ADM,,,0.0386735848171484,,,,,,,0.118275291619848,,,,,,,2014
0.000802326251800481,8.13023422937056e-06,0.165379468118167,0.748114301615179,5.50862941782332,ADP,,,,,,,,,,,,,,,,,2014
0.000849306720374423,1.80546675242352e-08,5.83633111588234e-09,0.99899992316114,4.41946611574751,ADSK,,,,,,,,,,,,,,,,,2014
0.00120188810116745,2.04916125804169e-07,5.9249132969679e-07,0.998998214651548,7.64207459931507,AEE,,,-0.694795675076639,0.716241193074058,-0.0432782867422679,,,-0.263723490497675,,,,,,,,,2014
0.0012080307437668,1.86175020030275e-07,2.4285439620976e-08,0.998999972595683,21.2224893187629,AEP,,,-0.0947089274597037,,,,,,,,,,,,,,2014
0.000303589961874048,6.61276606011789e-06,0.0687585690339322,0.173606925237566,8.12846724447296,AES,,,,,,,,,,,0.724048616355239,,,,,,2014
2.89380908941553e-05,5.39771948116285e-05,0.197768243175265,5.01325816146965e-11,7.61388414779707,AFL,0.221695088871193,,,,,,,,,,,,,,,,2014
0.000854214941714108,9.27353751806944e-06,0.189457920365267,0.741090930641976,12.1614856823239,AIG,,,,,,,,,,,,,,,,,2014
0.000118961413399206,2.58948594122545e-05,0.165603791731644,0.571832725097825,63.848526189574,AIZ,2.6596509981636e-11,,,,,,,,,,,,,,,,2014
0.000631961392748659,1.74326402078269e-05,0.276933769841728,0.534893867620112,6.25146655065274,AJG,,,,,,,,,,,,,,,,,2014
0.000713488002824517,2.84551442329066e-06,7.11779372036021e-07,0.988387343447815,5.53152951229894,AKAM,,,,,,,,,,,,,,,,,2014
0.00110194535921575,1.58356303771888e-06,0.016785167237297,0.982214789792562,2.91464361811686,ALB,,,,,,,,,,,,,,,,,2014
-0.000188415996910056,3.6705983355425e-05,0.1185340351518,0.784319087180601,5.68362557067704,ALGN,,,,,,,,,,,,,,,,,2014
0.00223731453495727,4.12233994080501e-07,3.38361202831026e-08,0.998999939053971,5.89117096108817,ALK,,,,-0.123809466026008,,,,,,,,,,,,,2014
0.000931407694071729,5.25959249861364e-06,0.116878447085176,0.804831312859374,5.46895859737265,ALL,,,0.261707733364343,-0.337080394155187,,,,,,,,,,,,,2014
0.000347567055363344,7.41511304268017e-05,0.160300122535792,0.490367381226114,4.72805572079955,ALLE,,,,,,,,,,,,,,,,,2014
0.00115014705052259,1.07973932403873e-06,1.62193612530841e-09,0.998999954932911,2.99994762753764,AMAT,,,,,,,,,,,,,,,,,2014
0.000292196658948214,5.7584415062201e-06,5.04548614960555e-10,0.988638384727301,3.62616169755549,AMD,,,0.0901817682523333,,,,,,,,,,,,,,2014
-0.000224131196993386,7.63673425309037e-06,1.24488833687644e-07,0.817404608115967,5.95478792954697,AME,,,,,,,,,,,,0.290989054648353,,,,,2014
0.00138749978291506,2.12927872318242e-06,2.45925363682211e-05,0.990810863081906,5.68999768217842,AMGN,,,,,,,,,,,,,,,,,2014
0.00153172320740761,1.9327885017324e-05,0.18580901862044,0.727791948506081,5.1598101807215,AMP,,,,,,,,,,,,,,,,,2014
0.00101736411570795,3.55758800862897e-05,0.138054101629321,0.530395821596774,3.70630164229398,AMT,,,,,,,,,,,,,,,,,2014
6.14908322360944e-05,1.14903283961156e-06,0.115454551797947,0.00377851364995332,3.24862792440543,AMZN,,0.900159764807227,,,,0.997432738481125,6.65322745534917e-05,,,,0.00202199381347772,,,,,,2014
0.000146481441185993,9.88756403638621e-06,1.37733481267592e-12,0.88255272825675,7.19523842350824,ANSS,,,,,,,,,,,,0.0667400399325268,,,,,2014
0.00100415169260313,7.81223365602689e-06,0.133998832884639,0.820641011927903,3.474608504437,AON,,,,,,,,,,,,,,,,,2014
0.000112492544145643,5.27837996435801e-08,1.56009633357253e-08,0.998999877545485,6.17991778197639,AOS,,,,,,,,,,,,,,,,,2014
0.000953657098663818,2.44038936081737e-06,0.0752266850899115,0.922131932458044,6.3848868196231,APA,,,-0.0290134616086409,0.0452348601695888,0.777731778218363,,,,,-0.574455158187149,,,,,,,2014
0.000776893294553512,3.70324267030128e-07,1.25966928152819e-08,0.998999939973783,3.29677451951075,APD,,,,,,,,,,,,,,,,,2014
0.00114766867410844,9.28870787411174e-06,0.0715993808754184,0.85061217513509,4.05843935897508,APH,,,,,,,,,,,,,,,,,2014
0.000398289473961572,1.44504860691064e-05,0.0213326563204543,0.76719347320346,12.9367977044348,APTV,,,,0.140615654811595,,,,,,,,0.24007227138416,,,,,2014
0.00130512165098769,1.84798517939191e-06,0.0589464470423107,0.915846528873633,8.87441988593092,ARE,,,,,,,,,,,,,,,,,2014
0.00120557088494793,1.89742541072038e-05,0.0821795193559791,0.738038741155033,10.5377532982104,ATO,,,-0.723487348299644,0.669460273001166,,,,,,,,,,,,,2014
0.00016910984943131,8.79256747372133e-07,8.22377091863174e-11,0.99899996823938,2.83390373858551,ATVI,,,,,,,,,,,,,,,,,2014
0.00150152489306012,1.9051345630938e-07,0.00960810235857789,0.954567315316541,4.74647357208271,AVB,,,,,,,,,,,0.0336670675113454,,,,,,2014
0.0022676143631089,4.89694454431919e-05,0.155854955231604,0.745217538572906,4.06836165132634,AVGO,,,,,,,,,,,,,,,,,2014
0.000761022029666956,3.45063342602107e-05,0.146187501005626,0.637918244513859,3.85760009460508,AVY,,,,,,,,,,,,,,,,,2014
0.000838034395104048,1.10083120641028e-05,0.15112306231557,0.721479861340361,14.4110662833175,AWK,,,-0.111477507337055,,,,,,,,,,,,,,2014
0.000498348441649451,0.000587746333558382,0.183588388197105,0.381204540656885,4.13605841374403,AXON,,,,,,,,,,,,,,,,,2014
0.000336871902874421,2.92128480755367e-05,0.338449705250965,0.474741242902492,6.13562369810885,AXP,,,,,,,,,,,,,,,,,2014
0.000806202261116334,5.12621528773274e-05,0.0994887512075524,0.469672034376098,3.73731637694212,AZO,,,,-0.176995666103183,,,,,,,,0.018222454971911,,,,,2014
0.000430760335488914,8.27053475481933e-07,0.00141491257417367,0.991606008589388,7.56467432184631,BA,0.000389823552855315,,,,,,,,,,,,,,,,2014
0.000360422393637079,4.58998390166006e-07,0.00960676615228868,0.649974475320186,7.36137034512815,BAC,0.0105285527532962,,0.664476910173526,-0.64366275136785,-0.115696366969962,,,,,,0.349289953377396,0.105711965582089,-0.148131064135058,,,,2014
0.00122944518786886,1.6310226926731e-05,0.100900220348961,0.760281928624849,5.19309974433916,BALL,,,,,,,,,,,,,,,,,2014
